POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	30
1	2	-	46
2	3	+	42
3	4	+	26
4	5	-	24
5	6	-	38
6	7	-	30
7	9	+	174
8	9	+	176
9	9	+	178
10	9	+	180
11	9	+	182
12	9	+	184
13	9	+	186
14	9	+	188
15	10	+	58
16	13	-	28
17	13	-	30
18	14	+	46
19	16	+	108
20	16	+	110
21	16	+	112
22	16	+	114
23	18	-	26
24	19	-	62
25	20	+	132
26	20	+	134
27	20	+	136
28	20	+	138
29	20	+	140
30	20	+	142
31	20	+	144
32	21	-	38
33	21	-	40
34	21	-	42
35	21	-	44
36	23	-	108
37	23	-	110
38	26	-	100
39	26	-	102
40	26	-	104
41	26	-	106
42	27	+	82
43	27	+	84
44	27	+	86
45	27	+	88
46	28	-	40
47	28	-	42
48	30	+	134
49	30	+	136
50	30	+	138
51	31	+	78
52	31	+	80
53	32	+	32
54	33	-	68
55	33	-	70
56	33	-	72
57	34	+	66
58	34	+	68
59	35	+	62
60	35	+	64
61	36	-	68
62	36	-	70
63	36	-	72
64	36	-	74
65	37	-	68
66	37	-	70
67	37	-	72
68	37	-	74
69	38	-	48
70	39	-	124
71	39	-	126
72	39	-	128
73	39	-	130
74	39	-	132
75	39	-	134
76	40	+	78
77	40	+	80
78	40	+	82
79	40	+	84
80	41	+	36
81	41	+	38
82	42	-	70
83	45	-	50
84	45	-	52
85	46	-	50
86	46	-	52
87	48	+	24
88	49	+	68
89	49	+	70
90	50	-	30
